Apr28 14:46:19 [DEBUG]      RLDecisionMaker: TAKEDECISION Vs: {8: 101.39850603838224, 9: -1437.6000497287059, 10: 96.371027868671234, 11: 97.433133290105232, 12: 89.945401527933669, 13: 87.34190682392763}, max V = 13 V[13] 87.3419068239
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: Decided to change state to_next: 8 from_curr: 9
Apr28 14:46:19 [DEBUG]      RLDecisionMaker: TAKEDECISION: action REMOVE 1 nodes.
Apr28 14:46:19 [ INFO]          COORDINATOR: Will remove 1 nodes
Apr28 14:46:19 [ INFO]              CLUSTER: Removing node cassandra_node_08
Apr28 14:46:49 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:46:49 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9, pending action: REMOVE
Apr28 14:46:49 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:46:49 [DEBUG]      RLDecisionMaker: Last action REMOVE hasn't finished yet, see you later!
Apr28 14:46:49 [DEBUG]      RLDecisionMaker: Discarding measurement: 9, 4039, 4020, 11491
Apr28 14:47:19 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:47:19 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9, pending action: REMOVE
Apr28 14:47:19 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:47:19 [DEBUG]      RLDecisionMaker: Last action REMOVE hasn't finished yet, see you later!
Apr28 14:47:19 [DEBUG]      RLDecisionMaker: Discarding measurement: 9, 4183, 4170, 11493
Apr28 14:47:49 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:47:49 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9, pending action: REMOVE
Apr28 14:47:49 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:47:50 [DEBUG]      RLDecisionMaker: Last action REMOVE hasn't finished yet, see you later!
Apr28 14:47:50 [DEBUG]      RLDecisionMaker: Discarding measurement: 9, 4315, 4315, 11493
Apr28 14:48:20 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:48:20 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 9, pending action: REMOVE
Apr28 14:48:20 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:48:20 [DEBUG]      RLDecisionMaker: Last action REMOVE hasn't finished yet, see you later!
Apr28 14:48:20 [DEBUG]      RLDecisionMaker: Discarding measurement: 9, 4467, 4466, 11494
Apr28 14:48:32 [ INFO]              CLUSTER: Node cassandra_node_08 is removed
Apr28 14:48:32 [ INFO]              CLUSTER: Injecting host files
Apr28 14:48:50 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
Apr28 14:48:50 [DEBUG]      RLDecisionMaker: TAKEDECISION state: 8, pending action: None
Apr28 14:48:50 [DEBUG]      RLDecisionMaker: Collecting metrics
Apr28 14:48:50 [DEBUG]      RLDecisionMaker: New decision in 5.0 mins, see you later!
Apr28 14:49:20 [DEBUG]           MonitorVMs: Refreshing metrics from 83.212.118.4:8649
